Species T1 T2 T3 T4 T5 T6 T7 T8 T9 T10
Montipora_tuberculosa 0 2.4 0 0 0 0 0 0 0 0
Montipora_hispida 0 0 0 0 1.5 0 0 0 0 0
Montipora_digitata 0 0 0 0 0 0 0 0 0 3
Montipora_foliosa 0 0 0 0 0 0 0 2.4 0 0
Fungia_fungites 0 0.9 0 1.5 0 0 0 0 0 0
Fungia_paumotensis 1.2 2 0 2.8 0 0 0 0 0 0
Fungia_concina 0 1 1 1 0 0 0 0 0 0
Halomitra_limax 0 0 1.5 0 0 0 0 0 0 0
Pavona_varians 3 0 0 0 0 0 0 0 1.5 0
Coeloseris_mayeri 0 0 1.2 0 0 0 0 0 1.2 0
Galaxea_fascicularis 0.9 0 0 0 0 0 0 0 0 0
Lobophyllia_corymbosa 0 1.2 0 0 0 0 0 0 0 0
Porites_cylindrica 1 0 0 2 0 0 0 0 0 0
Porites_lichen 0 4 1.9 0 0 0 0 0 0 0
Porites_nigrescens 0 0 0 1.2 0 2.8 0 0 0 0
Porites_stephensoni 0 0 0 0 2 0 2.5 0 0 0
Goniopora_lobata 0 0 3 0 0 0 0 0 0 0
Favites_chinensis 0 2.1 0 2.3 2 0 0 0 0 0
Goniastrea_rectiformis 0.6 0 0 0 0 0 0 0 0 0
Dulophyllia_crispa 0 0.9 0 0 0 0 0 0 0 0
Cyphastrea_serailia 1.9 0 1.7 0 0 1.8 0 0 0 0
